unit_index,selected,characters,event_count,A,E,I,O,U,original_record_or_text
33,0,384,15,0.673437810017,0.395404166315,0.20641953153,0.501406776804,-0.29483239393,"{""blur_score"":0.102576,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":3.6e-05,""edge_density"":0.102103,""foreground_ratio"":0.042523,""frame_difference"":1.6e-05,""frame_id"":32,""luma_std"":0.68154,""mean_hue"":0.236067,""mean_luma"":0.753033,""mean_saturation"":0.148565,""mean_value"":0.78884,""motion_energy"":0.0,""scene_cut_score"":0.000151,""texture_entropy"":0.565807,""timestamp_ms"":1600}"
34,0,386,15,0.673444324427,0.395420754538,0.20642602378,0.501402350594,-0.29483471784,"{""blur_score"":0.102561,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":3.4e-05,""edge_density"":0.102103,""foreground_ratio"":0.042523,""frame_difference"":1.8e-05,""frame_id"":33,""luma_std"":0.681536,""mean_hue"":0.236048,""mean_luma"":0.753047,""mean_saturation"":0.148576,""mean_value"":0.788858,""motion_energy"":0.0,""scene_cut_score"":0.000158,""texture_entropy"":0.565777,""timestamp_ms"":1650}"
35,0,400,15,0.765617191312,0.363374287157,0.267930647961,0.321902587952,-0.474451816475,"{""blur_score"":0.102738,""change_center_x"":0.84507,""change_center_y"":0.106443,""color_shift"":7.2e-05,""edge_density"":0.102259,""foreground_ratio"":0.042484,""frame_difference"":6.8e-05,""frame_id"":34,""luma_std"":0.681683,""mean_hue"":0.236071,""mean_luma"":0.753016,""mean_saturation"":0.148612,""mean_value"":0.788828,""motion_energy"":0.000234,""scene_cut_score"":0.000951,""texture_entropy"":0.565322,""timestamp_ms"":1700}"
36,0,399,15,0.765449151447,0.363560898507,0.268309427452,0.322647638031,-0.474102829533,"{""blur_score"":0.102602,""change_center_x"":0.84554,""change_center_y"":0.107563,""color_shift"":7.7e-05,""edge_density"":0.102142,""foreground_ratio"":0.042484,""frame_difference"":7.2e-05,""frame_id"":35,""luma_std"":0.681487,""mean_hue"":0.236064,""mean_luma"":0.753058,""mean_saturation"":0.148556,""mean_value"":0.78887,""motion_energy"":0.000389,""scene_cut_score"":0.000864,""texture_entropy"":0.565811,""timestamp_ms"":1750}"
37,0,384,15,0.673310011619,0.395476068262,0.206339217312,0.501566676267,-0.29475136864,"{""blur_score"":0.102617,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":6.1e-05,""edge_density"":0.102181,""foreground_ratio"":0.042484,""frame_difference"":2.2e-05,""frame_id"":36,""luma_std"":0.681484,""mean_hue"":0.23603,""mean_luma"":0.753046,""mean_saturation"":0.148571,""mean_value"":0.788862,""motion_energy"":0.0,""scene_cut_score"":0.000348,""texture_entropy"":0.56574,""timestamp_ms"":1800}"
38,0,401,15,0.766071728537,0.363119862155,0.268211239647,0.321179147031,-0.475021384229,"{""blur_score"":0.102714,""change_center_x"":0.846009,""change_center_y"":0.105882,""color_shift"":7.2e-05,""edge_density"":0.102181,""foreground_ratio"":0.042523,""frame_difference"":5.6e-05,""frame_id"":37,""luma_std"":0.681522,""mean_hue"":0.235999,""mean_luma"":0.753045,""mean_saturation"":0.148588,""mean_value"":0.788873,""motion_energy"":0.000195,""scene_cut_score"":0.000426,""texture_entropy"":0.565844,""timestamp_ms"":1850}"
39,0,383,15,0.67327399964,0.395447524021,0.206362578561,0.501202511358,-0.294714303458,"{""blur_score"":0.102715,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":2.1e-05,""edge_density"":0.102181,""foreground_ratio"":0.042523,""frame_difference"":7e-06,""frame_id"":38,""luma_std"":0.681543,""mean_hue"":0.236015,""mean_luma"":0.753044,""mean_saturation"":0.148587,""mean_value"":0.788868,""motion_energy"":0.0,""scene_cut_score"":7.6e-05,""texture_entropy"":0.565414,""timestamp_ms"":1900}"
40,0,382,15,0.673375098441,0.395431661451,0.206350319661,0.501332571337,-0.294791227141,"{""blur_score"":0.102714,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":2.3e-05,""edge_density"":0.102181,""foreground_ratio"":0.042523,""frame_difference"":7e-06,""frame_id"":39,""luma_std"":0.681522,""mean_hue"":0.235986,""mean_luma"":0.753046,""mean_saturation"":0.14858,""mean_value"":0.788873,""motion_energy"":0.0,""scene_cut_score"":8.4e-05,""texture_entropy"":0.565877,""timestamp_ms"":1950}"
41,0,400,15,0.765855316111,0.362022176939,0.264820791786,0.324368376665,-0.472126130819,"{""blur_score"":0.102569,""change_center_x"":0.830986,""change_center_y"":0.107376,""color_shift"":0.000112,""edge_density"":0.102492,""foreground_ratio"":0.042562,""frame_difference"":8.1e-05,""frame_id"":40,""luma_std"":0.681396,""mean_hue"":0.236063,""mean_luma"":0.75306,""mean_saturation"":0.148559,""mean_value"":0.788892,""motion_energy"":0.00035,""scene_cut_score"":0.001564,""texture_entropy"":0.566041,""timestamp_ms"":2000}"
42,0,386,15,0.673351468977,0.395528872671,0.20625078933,0.501622371839,-0.294918658491,"{""blur_score"":0.102561,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":4.8e-05,""edge_density"":0.102492,""foreground_ratio"":0.042562,""frame_difference"":1.4e-05,""frame_id"":41,""luma_std"":0.681397,""mean_hue"":0.236024,""mean_luma"":0.753071,""mean_saturation"":0.148566,""mean_value"":0.788908,""motion_energy"":0.0,""scene_cut_score"":0.000167,""texture_entropy"":0.566056,""timestamp_ms"":2050}"
43,0,399,15,0.765770865421,0.363223535917,0.267695907155,0.322227535873,-0.474381966829,"{""blur_score"":0.102687,""change_center_x"":0.844027,""change_center_y"":0.106443,""color_shift"":9.8e-05,""edge_density"":0.102375,""foreground_ratio"":0.042523,""frame_difference"":7.9e-05,""frame_id"":42,""luma_std"":0.681584,""mean_hue"":0.236025,""mean_luma"":0.753033,""mean_saturation"":0.148618,""mean_value"":0.788868,""motion_energy"":0.00035,""scene_cut_score"":0.00094,""texture_entropy"":0.565867,""timestamp_ms"":2100}"
44,0,383,15,0.673312976857,0.395528590978,0.206263147848,0.501484062557,-0.29483185786,"{""blur_score"":0.102685,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":5e-05,""edge_density"":0.102375,""foreground_ratio"":0.042523,""frame_difference"":1.1e-05,""frame_id"":43,""luma_std"":0.68157,""mean_hue"":0.236016,""mean_luma"":0.753034,""mean_saturation"":0.148613,""mean_value"":0.788876,""motion_energy"":0.0,""scene_cut_score"":0.000154,""texture_entropy"":0.566008,""timestamp_ms"":2150}"
45,0,398,15,0.765299891655,0.363621831228,0.267928518319,0.322855198476,-0.473915032114,"{""blur_score"":0.102711,""change_center_x"":0.8444,""change_center_y"":0.108043,""color_shift"":6.2e-05,""edge_density"":0.102453,""foreground_ratio"":0.042562,""frame_difference"":5.2e-05,""frame_id"":44,""luma_std"":0.681424,""mean_hue"":0.236042,""mean_luma"":0.75306,""mean_saturation"":0.148567,""mean_value"":0.788895,""motion_energy"":0.000273,""scene_cut_score"":0.000615,""texture_entropy"":0.566186,""timestamp_ms"":2200}"
